id (DMA),year,month,week,after,close, sales ,,,,,,,,,,
96,2011,11,47,1,1,"3,764",,,,,,,,,,
96,2011,11,48,1,1,"4,169",,,,,,,,,,
96,2011,11,49,1,1,"9,343",,,,,,,,,,
96,2011,12,50,1,1,"8,236",,,,,,,,,,
96,2011,12,51,1,1,"14,668",,,,,,,,,,
96,2011,12,52,1,1,"7,388",,,,,,,,,,
96,2011,12,53,1,1,"3,062",,,,,,,,,,
96,2012,1,1,1,1,"4,181",,,,,,,,,,
96,2012,1,2,1,1,"3,954",,,,,,,,,,
96,2012,1,3,1,1,"3,347",,,,,,,,,,
96,2012,1,4,1,1,"3,932",,,,,,,,,,
96,2012,1,5,1,1,"3,040",,,,,,,,,,
96,2012,1,6,1,1,"2,537",,,,,,,,,,
96,2012,2,7,1,1,"2,196",,,,,,,,,,
96,2012,2,8,1,1,"3,195",,,,,,,,,,
96,2012,2,9,1,1,"4,273",,,,,,,,,,
96,2012,2,10,1,1,"6,115",,,,,,,,,,
96,2012,3,11,1,1,"3,360",,,,,,,,,,
96,2012,3,12,1,1,"4,635",,,,,,,,,,
96,2012,3,13,1,1,"3,508",,,,,,,,,,
96,2012,3,14,1,1,"3,822",,,,,,,,,,
97,2011,4,17,0,1,"30,499",,,,,,,,,,
97,2011,4,18,0,1,"22,766",,,,,,,,,,
97,2011,5,19,0,1,"39,116",,,,,,,,,,
97,2011,5,20,0,1,"24,775",,,,,,,,,,
97,2011,5,21,0,1,"25,123",,,,,,,,,,
97,2011,5,22,0,1,"17,291",,,,,,,,,,
97,2011,5,23,0,1,"16,385",,,,,,,,,,
97,2011,6,24,0,1,"51,732",,,,,,,,,,
97,2011,6,25,0,1,"64,314",,,,,,,,,,
97,2011,6,26,0,1,"32,477",,,,,,,,,,
97,2011,6,27,0,1,"34,317",,,,,,,,,,
97,2011,7,28,0,1,"43,092",,,,,,,,,,
97,2011,7,29,0,1,"29,319",,,,,,,,,,
97,2011,7,30,0,1,"23,237",,,,,,,,,,
97,2011,7,31,0,1,"16,553",,,,,,,,,,
97,2011,8,32,0,1,"35,076",,,,,,,,,,
97,2011,8,33,0,1,"24,584",,,,,,,,,,
97,2011,8,34,0,1,"22,814",,,,,,,,,,
97,2011,8,35,0,1,"32,032",,,,,,,,,,
97,2011,8,36,0,1,"61,135",,,,,,,,,,
97,2011,9,37,0,1,"58,516",,,,,,,,,,
97,2011,9,38,0,1,"32,360",,,,,,,,,,
97,2011,9,39,0,1,"24,214",,,,,,,,,,
97,2011,9,40,0,1,"43,257",,,,,,,,,,
97,2011,10,41,0,1,"30,243",,,,,,,,,,
97,2011,10,42,0,1,"37,478",,,,,,,,,,
97,2011,10,43,1,1,"25,637",,,,,,,,,,
97,2011,10,44,1,1,"9,865",,,,,,,,,,
97,2011,10,45,1,1,"52,524",,,,,,,,,,
97,2011,11,46,1,1,"25,468",,,,,,,,,,
97,2011,11,47,1,1,"28,439",,,,,,,,,,
97,2011,11,48,1,1,"50,046",,,,,,,,,,
97,2011,11,49,1,1,"95,235",,,,,,,,,,
97,2011,12,50,1,1,"26,825",,,,,,,,,,
97,2011,12,51,1,1,"51,728",,,,,,,,,,
97,2011,12,52,1,1,"42,657",,,,,,,,,,
97,2011,12,53,1,1,"61,332",,,,,,,,,,
97,2012,1,1,1,1,"19,360",,,,,,,,,,
97,2012,1,2,1,1,"24,868",,,,,,,,,,
97,2012,1,3,1,1,"6,808",,,,,,,,,,
97,2012,1,4,1,1,"26,396",,,,,,,,,,
97,2012,1,5,1,1,"17,366",,,,,,,,,,
97,2012,1,6,1,1,"19,994",,,,,,,,,,
97,2012,2,7,1,1,"15,322",,,,,,,,,,
97,2012,2,8,1,1,"28,944",,,,,,,,,,
97,2012,2,9,1,1,"37,940",,,,,,,,,,
97,2012,2,10,1,1,"15,558",,,,,,,,,,
97,2012,3,11,1,1,"17,267",,,,,,,,,,
97,2012,3,12,1,1,"15,533",,,,,,,,,,
97,2012,3,13,1,1,"13,546",,,,,,,,,,
97,2012,3,14,1,1,"15,907",,,,,,,,,,
98,2011,4,17,0,0,"1,001",,,,,,,,,,
98,2011,4,18,0,0,"1,982",,,,,,,,,,
98,2011,5,19,0,0,"1,160",,,,,,,,,,
98,2011,5,20,0,0,"1,452",,,,,,,,,,
98,2011,5,21,0,0,737,,,,,,,,,,
98,2011,5,22,0,0,"1,030",,,,,,,,,,
98,2011,5,23,0,0,"1,352",,,,,,,,,,
98,2011,6,24,0,0,"1,323",,,,,,,,,,
98,2011,6,25,0,0,"1,081",,,,,,,,,,
98,2011,6,26,0,0,"1,737",,,,,,,,,,
98,2011,6,27,0,0,992,,,,,,,,,,
98,2011,7,28,0,0,"1,732",,,,,,,,,,
98,2011,7,29,0,0,593,,,,,,,,,,
98,2011,7,30,0,0,"1,144",,,,,,,,,,
98,2011,7,31,0,0,"1,124",,,,,,,,,,
98,2011,8,32,0,0,"1,614",,,,,,,,,,
98,2011,8,33,0,0,521,,,,,,,,,,
98,2011,8,34,0,0,828,,,,,,,,,,
98,2011,8,35,0,0,987,,,,,,,,,,
98,2011,8,36,0,0,"1,627",,,,,,,,,,
98,2011,9,37,0,0,"2,006",,,,,,,,,,
98,2011,9,38,0,0,808,,,,,,,,,,
98,2011,9,39,0,0,675,,,,,,,,,,
98,2011,9,40,0,0,"2,076",,,,,,,,,,
98,2011,10,41,0,0,"1,162",,,,,,,,,,
98,2011,10,42,0,0,662,,,,,,,,,,
98,2011,10,43,1,0,"1,091",,,,,,,,,,
98,2011,10,44,1,0,"1,546",,,,,,,,,,
98,2011,10,45,1,0,"1,064",,,,,,,,,,
98,2011,11,46,1,0,"1,506",,,,,,,,,,
98,2011,11,47,1,0,"1,497",,,,,,,,,,
98,2011,11,48,1,0,"1,899",,,,,,,,,,
98,2011,11,49,1,0,"2,473",,,,,,,,,,
98,2011,12,50,1,0,"1,011",,,,,,,,,,
98,2011,12,51,1,0,"1,141",,,,,,,,,,
98,2011,12,52,1,0,616,,,,,,,,,,
98,2011,12,53,1,0,"1,074",,,,,,,,,,
98,2012,1,1,1,0,"1,339",,,,,,,,,,
98,2012,1,2,1,0,373,,,,,,,,,,
98,2012,1,3,1,0,799,,,,,,,,,,
